id;ma;ten;diem;noidung;sudung
1;Practical Wooden Shirt whiteboard Concrete;Data open-source Generic;41758;SCSI Communications Underpass;61341
2;Fish Associate Intuitive;quantifying Phased connecting;12033;Intelligent Cotton Bike;3673
3;Accounts;wireless Generic Frozen Bike EXE;92775;Designer Ball;39624
4;connect Zimbabwe Dollar;Forward;46338;Savings Account;74787
5;Kids Customer;Practical AI didactic;12951;HTTP Configuration;86212
6;virtual;Infrastructure bandwidth;28139;Implemented Computers;69571
7;Sleek Granite Car Integration Handcrafted;Tasty backing up Cambridgeshire;48058;Virginia generating;34780
8;Ouguiya Utah;circuit;52126;SMTP Synchronised Pizza;16040
9;next-generation Quality-focused Quality;Credit Card Account;75271;Salad;88087
10;RSS Outdoors backing up;copying;22862;Corporate Jewelery Tennessee;75663
