id;madutoan;tendutoan;noidung;sudung
1;Home;Investor Public-key;Lebanon;44778
2;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;Point Orchestrator;39882
3;bypassing optical;installation;Argentine Peso;85835
4;neural-net red;Buckinghamshire Future-proofed deposit;Quality;39757
5;Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216
6;Borders content-based;Tasty Customer Human;pink even-keeled;70035
7;programming SCSI drive;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;94013
8;Supervisor clear-thinking;Latvia;Ports Manager Fish;1807
9;Bedfordshire;navigate;program alarm;30806
10;Benin Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;43439
