id;ten;donvi;trachnhiem;sudung
1;grow Orchestrator;multi-state El Salvador Colon US Dollar XSS;77985;90781
2;sensor;Rustic Configurable Planner;14249;1836
3;Borders magenta;Rhode Island Automotive;32646;7241
4;Belize PCI;Sports;7857;35780
5;benchmark Planner;Solomon Islands Dollar;80058;82144
6;Rustic Metal Computer;deposit circuit Kids;93621;61660
7;Home Loan Account;capacitor;87096;94735
8;Auto Loan Account cross-platform Auto Loan Account;Handcrafted Customer;54759;59747
9;online Port Sleek Wooden Fish;Handmade Generic Concrete Tuna;15954;47927
10;Savings Account utilisation Hill;Pizza redundant deposit;49819;16167
