id;mota;noidung;noidung_content_type;thoigian
1;Clothing deposit;../fake-data/blob/hipster.png;image/png;2020-04-09
2;Virgin Islands, British Borders Intelligent;../fake-data/blob/hipster.png;image/png;2020-04-09
3;blue web-readiness white;../fake-data/blob/hipster.png;image/png;2020-04-08
4;Pizza Assurance;../fake-data/blob/hipster.png;image/png;2020-04-09
5;navigating Money Market Account array;../fake-data/blob/hipster.png;image/png;2020-04-08
6;Avon Syrian Arab Republic Borders;../fake-data/blob/hipster.png;image/png;2020-04-08
7;Clothing target;../fake-data/blob/hipster.png;image/png;2020-04-08
8;Personal Loan Account redundant withdrawal;../fake-data/blob/hipster.png;image/png;2020-04-08
9;uniform sticky;../fake-data/blob/hipster.png;image/png;2020-04-09
10;Point calculating;../fake-data/blob/hipster.png;image/png;2020-04-09
